,name,price,img,about,ing,category
"bb Royal Jeera/Jeeraga samba Rice, 1 kg Pouch","bb Royal Jeera/Jeeraga samba Rice, 1 kg Pouch",68,https://www.bigbasket.com/media/uploads/p/s/10000432-5_4-bb-royal-jeerajeeraga-samba-rice.jpg,"
            Jeera rice or Zeera rice is an Indian dish consisting tiny size. It is a famous dish in North India, an everyday rice dish. It is simple to prepare unlike a biryani. It is finely processed to eliminate foreign grains, dust particles, husk and other impurities. It contains a good nutritional value and high in taste.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Jeera/Jeeraga samba Rice, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Idli - Sooji, 1 kg Pouch","bb Royal Idli - Sooji, 1 kg Pouch",53,https://www.bigbasket.com/media/uploads/p/s/10000433-4_4-bb-royal-idli-sooji.jpg,"
            Sooji idli is fast becoming an interchange to rice idli. It can be completed in a jiffy and are light on the tummy too. It is also utilized as the major ingredient in several foods, both sweet and savory, like Upma and Rawa Laddoo. It is a superior resource of vitamin E and B vitamins. Both are necessary vitamins to strengthen your immune system.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Idli - Sooji, 1 kg Pouch","ATTA, FLOURS & SOOJI"
"bb Royal Moong Dal, 1 kg Pouch","bb Royal Moong Dal, 1 kg Pouch",157,https://www.bigbasket.com/media/uploads/p/s/10000434-6_8-bb-royal-moong-dal.jpg,"
            Moong dal is one of the most popular lentils eaten across India. Packed with protein, BB Royal moong dal packs deliver the finest selection of lentils which is evident from the shine on the lentils. The dal, sourced directly from farmers, is packed in a way that it retains the maximum nutrient value.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Moong Dal, 1 kg Pouch",DALS & PULSES
"bb Royal Rajma - Red, 500 g Pouch","bb Royal Rajma - Red, 500 g Pouch",78,https://www.bigbasket.com/media/uploads/p/s/10000435-6_5-bb-royal-rajma-red.jpg,"
            The BB Royal red kidney beans or rajma is definitely fit for a kingly meal. High on taste and packed with protein, BB Royal red kidney beans are selected from the finest growers. It is then air packed in a way that it provides optimal freshness when opened.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Rajma - Red, 500 g Pouch",DALS & PULSES
"bb Royal Horse Gram/Kulthi, 500 g Pouch","bb Royal Horse Gram/Kulthi, 500 g Pouch",52,https://www.bigbasket.com/media/uploads/p/s/10000436-6_6-bb-royal-horse-gramkulthi.jpg,"
            Horse Gram is a variety of bean generally used in many South Indian dishes. It is a reddish oval-shaped, brown colored, flattened and glossy skinned lentil. The edible seeds are very nutritious and are used for multiple cooking purposes.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Horse Gram/Kulthi, 500 g Pouch",DALS & PULSES
"bb Royal Rajma - White/Chitra, 500 g Pouch","bb Royal Rajma - White/Chitra, 500 g Pouch",61,https://www.bigbasket.com/media/uploads/p/s/10000437-6_6-bb-royal-rajma-whitechitra.jpg,"
            Rajma White is superior to the regular rajma and very soft feel and more delicate flavor. These are white in color. Pulses are low in fat & cholesterol, high in dietary fiber and rich in protein. The normal antioxidants in the beans offer numerous health benefits. These are of finest quality and free from injurious chemicals and powders.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Rajma - White/Chitra, 500 g Pouch",DALS & PULSES
"bb Royal Red Lobia, 500 g Pouch","bb Royal Red Lobia, 500 g Pouch",68,https://www.bigbasket.com/media/uploads/p/s/10000438-6_5-bb-royal-red-lobia.jpg,"
            Lobia/Chawli (low-bee-aa or ch-ow-lee) aka Black-eyed Bean or China Bean is fairly bean and there is no want to soak it as it cooks effortlessly.Watch suspiciously when cooking as it should not get mashed.It has high cleanness, outstanding taste and high dietary value. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Red Lobia, 500 g Pouch",DALS & PULSES
"bb Royal Masoor Dal, 500 g Pouch","bb Royal Masoor Dal, 500 g Pouch",56,https://www.bigbasket.com/media/uploads/p/s/10000439-6_6-bb-royal-masoor-dal.jpg,"
            bb Royal brings the finest quality of Masoor Dal, one of the most used lentils in the Indian kitchen. The split red lentils are thoroughly cleaned and vacuum packed so that you can directly use it from packet.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Masoor Dal, 500 g Pouch",DALS & PULSES
"bb Royal Moong Dal, 500 g Pouch","bb Royal Moong Dal, 500 g Pouch",79,https://www.bigbasket.com/media/uploads/p/s/10000440-6_6-bb-royal-moong-dal.jpg,"
            Moong dal is sweet-tasting, yellow-coloured, split green moong beans, husked. These are high in fibre and protein. They have vitamins A, B, C and E and are an enormous source of minerals such as potassium, iron and calcium. They contain a low glycemic index and almost no fat content.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Moong Dal, 500 g Pouch",DALS & PULSES
"bb Royal Peas/Matar - White, 500 g Pouch","bb Royal Peas/Matar - White, 500 g Pouch",56,https://www.bigbasket.com/media/uploads/p/s/10000441-5_4-bb-royal-peasmatar-white.jpg,"
            Peas White are a small but nutritionally mighty member of the legume family, is a very fine supply of cholesterol-lowering fiber. It also provide good to outstanding amounts of four important protein, two B-vitamins and minerals, all with virtually no fat. These are high in soluble fiber.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Peas/Matar - White, 500 g Pouch",DALS & PULSES
"bb Royal Peanuts/ Mungaphali/Shengdana - Raw, 500 g Pouch","bb Royal Peanuts/ Mungaphali/Shengdana - Raw, 500 g Pouch",90,https://www.bigbasket.com/media/uploads/p/s/10000442-6_6-bb-royal-peanuts-mungaphalishengdana-raw.jpg,"
            BB Royal Raw Peanuts or MungaphalI Shengdana comes in hygienically packed 500-g packets. Raw peanuts are a great source of monounsaturated fat, the kind of fat that makes the Mediterranean diet so good for the heart. These oval-shaped healthy nuts provide more fibre in their raw version.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Peanuts/ Mungaphali/Shengdana - Raw, 500 g Pouch",DALS & PULSES
"bb Royal Moong - Green, Whole/Sabut, 500 g Pouch","bb Royal Moong - Green, Whole/Sabut, 500 g Pouch",74,https://www.bigbasket.com/media/uploads/p/s/10000443-6_6-bb-royal-moong-green-wholesabut.jpg,"
            Moong Dal has a sugary flavor, soft feel, and is simple to digest. These beans are sprouted to make Bean Sprouts, which have vitamin C, not found in the dry bean. Moong Bean Flour is utilized to make Bean Threads.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Moong - Green, Whole/Sabut, 500 g Pouch",DALS & PULSES
"bb Royal Toor Dal/Arhar Dal - Desi, 500 g Pouch","bb Royal Toor Dal/Arhar Dal - Desi, 500 g Pouch",65,https://www.bigbasket.com/media/uploads/p/s/10000444-6_4-bb-royal-toor-dalarhar-dal-desi.jpg,"
            Toor Dal is grown in vigorous soil and hygienic environment at their end. These are rich supply of protein and simple to digest and cook. It is yummy taste and has high dietary value. It is trouble-free to cook property. This lentil is properly cleaned and is free from foreign material.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Toor Dal/Arhar Dal - Desi, 500 g Pouch",DALS & PULSES
"bb Royal Rice - Boiled, Matta, Red, 1 kg Pouch","bb Royal Rice - Boiled, Matta, Red, 1 kg Pouch",70,https://www.bigbasket.com/media/uploads/p/s/10000445-5_2-bb-royal-rice-boiled-matta-red.jpg,"
            Red rice, just like the majority colored rice varieties, is rich in fiber which means that it satiates more, facilitates regulate weight, cleanses the colon of toxins, soaks up cholesterol and feeds the fine bacteria in the intestines. Red rice has proanthocyanidins, plant pigments which inform to foods a ruddy, purplish color.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Rice - Boiled, Matta, Red, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Peanuts/Mungaphali/Shengdana - Raw, 1 kg Pouch","bb Royal Peanuts/Mungaphali/Shengdana - Raw, 1 kg Pouch",135,https://www.bigbasket.com/media/uploads/p/s/10000446-6_5-bb-royal-peanutsmungaphalishengdana-raw.jpg,"
            Raw Peanuts are the unique Health Nut. Every oval-shaped kernel or seed is comprised of two off-white lobes that are enclosed by a brownish-red skin. They have B vitamins, Vitamin E, protein, fiber and necessary minerals. Peanuts have a strong, creamy and nutty flavor.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Peanuts/Mungaphali/Shengdana - Raw, 1 kg Pouch",DALS & PULSES
"bb Royal Sugar, 1 kg","bb Royal Sugar, 1 kg",48,https://www.bigbasket.com/media/uploads/p/s/10000447-4_3-bb-royal-sugar.jpg,"
            bb Royal Sugar is made from fine quality sugar cane; the grains are white in color. It is a fine source of energy and has essential minerals without any additive.
        ","bb Royal Sugar, 1 kg","SALT, SUGAR & JAGGERY"
"bb Popular Rice - Raw, Sona Masoori, 1 kg Pouch","bb Popular Rice - Raw, Sona Masoori, 1 kg Pouch",63,https://www.bigbasket.com/media/uploads/p/s/10000448-6_14-bb-popular-rice-raw-sona-masoori.jpg,"
Sona Masoori Raw Rice is daintily processed to eliminate foreign grains, dust particles, husk and extra impurities. It is free from all fake colours and injurious adulterants. It is a yummy flavour and has a fine texture. This rice is grown with no usage of any chemical pesticides and hence has great savour and scent. It has an exceptional supply of protein and high in the nutrients.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
","bb Popular Rice - Raw, Sona Masoori, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Rice - Dosa, 1 kg Pouch","bb Royal Rice - Dosa, 1 kg Pouch",47,https://www.bigbasket.com/media/uploads/p/s/10000449-6_2-bb-royal-rice-dosa.jpg,"
            Dosa Rice is easy dosa recipe which we can make in jiffy with minimum ingredients. It makes crispy, flaky rice flour dosa flavor delectable with any sambar, chutney or even podi. It is preferred for making idlis and dosas, plus kanji for elders and babies, as it is easier to digest and improved in terms of nutrition than raw rice.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Rice - Dosa, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Idli Rice, 1 kg Pouch","bb Royal Idli Rice, 1 kg Pouch",57,https://www.bigbasket.com/media/uploads/p/s/10000450-6_6-bb-royal-idli-rice.jpg,"
            Idli Rice is a good supply of proteins and carbohydrates. It is nutritious as it is a rich supply of fibers and is simple to healthy and digests. They are light and it can make in jiffy with minimum ingredients. It makes smooth, flaky rice flour idli taste delicious with any sambar, chutney or even podi. It is preferred for making idlis and dosas, as well as kanji for elders and babies, as it is easier to digest and better in terms of nutrition than raw rice.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Idli Rice, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Popular Rice - Steam, Sona Masoori, 1 kg Pouch","bb Popular Rice - Steam, Sona Masoori, 1 kg Pouch",65,https://www.bigbasket.com/media/uploads/p/s/10000451-6_7-bb-popular-rice-steam-sona-masoori.jpg,"
            Sona Masoori Steam Rice is very sweet-smelling and due to its smell, it is considered to be of better quality. This short grain rice length is 5 mm max, but after cooking it will be above 8mm. It has high dietary value and low amount of starch. It is yummy and broken of only 2% max which has reasonable price.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Popular Rice - Steam, Sona Masoori, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Raw Rice - Kolam, 1 kg Pouch","bb Royal Raw Rice - Kolam, 1 kg Pouch",59,https://www.bigbasket.com/media/uploads/p/s/10000452-5_2-bb-royal-raw-rice-kolam.jpg,"
            bb Royal Kolam Rice is good for a healthy and hearty life. The non-sticky soft-textured kolam rice from the house of bb Royal has an amazing flavor and a delicious taste.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Raw Rice - Kolam, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Poha /Avalakki/Aval/Chivda -Thick, 500 g Pouch","bb Royal Poha /Avalakki/Aval/Chivda -Thick, 500 g Pouch",39,https://www.bigbasket.com/media/uploads/p/s/10000453-6_9-bb-royal-poha-avalakkiavalchivda-thick.jpg,"
            Avalakki, also known as flattened rice or beaten rice, as the name suggests are flakes made by flattening dehusked rice. It considered healthy because it doesn't contain any cholesterol and saturated fat. It could be used to make various breakfasts as well as snack dishes.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Poha /Avalakki/Aval/Chivda -Thick, 500 g Pouch",RICE & RICE PRODUCTS
"bb Royal Rice - Boiled, Sona Masoori, 1 kg Pouch","bb Royal Rice - Boiled, Sona Masoori, 1 kg Pouch",70,https://www.bigbasket.com/media/uploads/p/s/10000454-5_2-bb-royal-rice-boiled-sona-masoori.jpg,"
            Sona Masoori Boiled Rice is light weight aromatic rice and low in starch. It is most significant non basmati rice. It is very well-liked for preparation of rice porridge in many Indian festivals. It does not give musty smell on cooking and it is adulteration-free, which makes very popular. It is hygienic and simple to digest.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Rice - Boiled, Sona Masoori, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Basmati Rice, 1 kg Pouch","bb Royal Basmati Rice, 1 kg Pouch",150,https://www.bigbasket.com/media/uploads/p/s/10000455-5_2-bb-royal-basmati-rice.jpg,"
            Basmati rice is a long-grained range of rice native to India. These are rigid, white, thin and long grains that contain a characteristically fragrant aroma. Basmati rice comparatively includes less sugar content. In general, Basmati rice is high in carbohydrates and protein. It is gluten-free and contains almost no cholesterol. Minerals and Vitamin B such as iron are also present in plenty. Its carbohydrate content verifies it to be an instant provider of energy. It is trouble-free to digest and verifies a staple solution for gluten-intolerant people. The vitamins present permit an enhanced functioning of the digestive and nervous system of the body and also encourages healthy skin.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Basmati Rice, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Wheat Broken/Dalia, 500 g Pouch","bb Royal Wheat Broken/Dalia, 500 g Pouch",34,https://www.bigbasket.com/media/uploads/p/s/10000456-5_1-bb-royal-wheat-brokendalia.jpg,"
            Broken wheat or cracked wheat which is commonly known as couscous is prepared after whole raw wheat grains is milled. As it does not undergo any fine processing, bb Royal Wheat Broken Dalia is extremely nutritious. Once you cook it with your favourite vegetables, it gives away a warm hearty flavour. It will taste grainy, faintly nutty and subtly chewy.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Wheat Broken/Dalia, 500 g Pouch","ATTA, FLOURS & SOOJI"
"bb Royal Rice - Raw, Sona Masoori, 1 kg Pouch","bb Royal Rice - Raw, Sona Masoori, 1 kg Pouch",67,https://www.bigbasket.com/media/uploads/p/s/10000457-6_2-bb-royal-rice-raw-sona-masoori.jpg,"
Sona Masoori Raw Rice has fine grains and is of great taste when cooked. This rice is grown without any chemical pesticides thereby retaining its great flavour and smell. It is a good supplier of protein and nutrients. It is delicately processed to eliminate husk, foreign grains, dust particles and other impurities.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
","bb Royal Rice - Raw, Sona Masoori, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Rice - Flour, 1 kg Pouch","bb Royal Rice - Flour, 1 kg Pouch",48,https://www.bigbasket.com/media/uploads/p/s/10000458-3_2-bb-royal-rice-flour.jpg,"
            Rice flour is made from grounded raw rice and is the perfect substitute for wheat flour, which sometimes may trigger irritation in the digestive system. A staple of Southeast Asia, Japan and southern India, rice flour is used in several recipes as a thickening agent. It is also the most preferred ingredient for gluten-free baked products as it is has a unique and sandy texture.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Rice - Flour, 1 kg Pouch","ATTA, FLOURS & SOOJI"
"bb Royal Sugar, 2 kg","bb Royal Sugar, 2 kg",94,https://www.bigbasket.com/media/uploads/p/s/10000459-5_2-bb-royal-sugar.jpg,"
            bb Royal Sugar is made from fine quality sugar cane; the grains are white in color. It is a fine source of energy and has essential minerals without any additive.
        ","bb Royal Sugar, 2 kg","SALT, SUGAR & JAGGERY"
"bb Royal Rice - Boiled, Tamil Ponni, 1 kg Pouch","bb Royal Rice - Boiled, Tamil Ponni, 1 kg Pouch",66,https://www.bigbasket.com/media/uploads/p/s/10000460-6_2-bb-royal-rice-boiled-tamil-ponni.jpg,"
            Tamil Ponni Boiled Rice is fresh, it is cleaned and packed at our hygienic facilities. It is relishing in flavor and provides a high nutrition value to anyone's diet.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Rice - Boiled, Tamil Ponni, 1 kg Pouch",RICE & RICE PRODUCTS
"bb Royal Channa - Kabuli, 500 g Pouch","bb Royal Channa - Kabuli, 500 g Pouch",66,https://www.bigbasket.com/media/uploads/p/s/10000461-5_2-bb-royal-channa-kabuli.jpg,"
            Kabuli channa or garbanzo beans are pale brown colored, sensitive, bland and starchy tasting, spongy and creamy textured legumes. It is a wealthy source of minerals such as magnesium, phosphorous, calcium, iron, potassium and importantly, molybdenum. They are utilized to make delicacies like falafels, Curried Chole and hummus.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Channa - Kabuli, 500 g Pouch",DALS & PULSES
"bb Royal Urad Dal - Split, 1 kg Pouch","bb Royal Urad Dal - Split, 1 kg Pouch",151,https://www.bigbasket.com/media/uploads/p/s/10000462-5_2-bb-royal-urad-dal-split.jpg,"
            Urad dal split is a skinned, fawn colored lentil with a strong flavor that has been split in half. This Urad dal includes fat, protein and carbohydrates that your body requires. It is rich in vitamins and dietary fibers, which also improve digestion. It aids in reducing cholesterol and develops cardiovascular health.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Urad Dal - Split, 1 kg Pouch",DALS & PULSES
"bb Royal Fried Gram/Bengal Gram, 500 g Pouch","bb Royal Fried Gram/Bengal Gram, 500 g Pouch",69,https://www.bigbasket.com/media/uploads/p/s/10000463-6_7-bb-royal-fried-grambengal-gram.jpg,"
            Fried Gram is one of the most significant pulses in India. It is used in the form of whole dried seeds and in the form of dhal, arranged by splitting the seeds in a mill and separating the husk. It makes a great, strong snack on the go because they are low in fat and calories and high in protein and fiber.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Fried Gram/Bengal Gram, 500 g Pouch",DALS & PULSES
"bb Royal Sooji - Bansi, 500 g Pouch","bb Royal Sooji - Bansi, 500 g Pouch",42,https://www.bigbasket.com/media/uploads/p/s/10000464-5_2-bb-royal-sooji-bansi.jpg,"
            Bansi Sooji is wealthy in fiber and very healthful. Bansi Sooji creates a very healthy and is very strong and good for people who are on diet. Bansi Sooji is utilized widely in the kitchen for preparing a amount of dishes. It is very tasty to prepare and enjoy it. Be it the delicious dessert of Halwa or the major course meal Bansi Sooji comes to utilize as the main ingredient in a variety of Indian dishes.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Sooji - Bansi, 500 g Pouch","ATTA, FLOURS & SOOJI"
"bb Royal Urad - Whole/Gota, 500 g Pouch","bb Royal Urad - Whole/Gota, 500 g Pouch",79,https://www.bigbasket.com/media/uploads/p/s/10000465-5_2-bb-royal-urad-wholegota.jpg,"
            Urad wash gota is a skinned, off-white coloured lentil with a strong aroma and is native to India. It has high dietary value and is rich resource of vitamin B, iron, magnesium and potassium. It is generally used in preparation of different cuisines. Our product is hygienically processed in our units to eliminate all kind of dust and foreign particles. Urad dal is generally soaked and ground to make batter for idlis, dosas, vadas, etc. It is used in curries, chutneys and sometimes too makes desserts as well.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Urad - Whole/Gota, 500 g Pouch",DALS & PULSES
"bb Royal Urad Dal - Split, 500 g Pouch","bb Royal Urad Dal - Split, 500 g Pouch",76,https://www.bigbasket.com/media/uploads/p/s/10000466-5_2-bb-royal-urad-dal-split.jpg,"
            Urad Dal is a cream colour dal used in trendy South Indian dishes such as dosa, idly and dahi vada as well as finished into spicy dal curry. It requires soaking for a few hours before cooking. The stability of urad dal is generally thicker than any other dals. White urad like other lentils and pulses are first-class supply of protein and dietary fiber. They are low in fat and rich in B complex vitamins, potassium and calcium.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Urad Dal - Split, 500 g Pouch",DALS & PULSES
"bb Royal Channa - Brown, 500 g Pouch","bb Royal Channa - Brown, 500 g Pouch",65,https://www.bigbasket.com/media/uploads/p/s/10000467-6_7-bb-royal-channa-brown.jpg,"
            Channa brown gram or Bengal gram is a deep brown coloured bean that is like to kabuli channa, but lesser in size with a bland skin and mild-tasting bean. It is high in dietary fiber and is one of the majority protein-rich beans there is. It is generally is utilized in curries and used to create besan flour. It is consumed boiled, fried and sprouted.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Channa - Brown, 500 g Pouch",DALS & PULSES
"bb Royal Maida, 500 g Pouch","bb Royal Maida, 500 g Pouch",25,https://www.bigbasket.com/media/uploads/p/s/10000468-3_2-bb-royal-maida.jpg,"
            Maida is considered as bleached flour that has less protein compare to unbleached. It is an ideal blend of smooth and tough wheat. This flour is Bleached flour has less protein than unbleached. It is a extremely finely milled flour used in Indian cooking for making breads, pastries and various biscuits and in particular parottas.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Maida, 500 g Pouch","ATTA, FLOURS & SOOJI"
"bb Royal Ragi Flour/Nachni Atta, 1 kg Pouch","bb Royal Ragi Flour/Nachni Atta, 1 kg Pouch",64,https://www.bigbasket.com/media/uploads/p/s/10000469-6_6-bb-royal-ragi-flournachni-atta.jpg,"
            Ragi is used as a whole grains, it is higher in minerals and protein in comparison to all other cereals and millets. It is a remarkable supply of protein, making it perfect for vegetarian diets. It has the highest amount of potassium and calcium. Ragi is a great supply of iron making it useful for individuals with low hemoglobin levels. It also includes B vitamins, especially B6, folic acid and niacin.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Ragi Flour/Nachni Atta, 1 kg Pouch","ATTA, FLOURS & SOOJI"
"bb Royal Lobia - White, 500 g Pouch","bb Royal Lobia - White, 500 g Pouch",60,https://www.bigbasket.com/media/uploads/p/s/10000470-6_5-bb-royal-lobia-white.jpg,"
            Lobia White is an extremely delicious, nutritious and protein packed dish. These are high in fiber, soluble fiber, complex protein, iron, carbohydrates, and folate. They are well known for their consistency and their ability to absorb tastes. Rich in fiber, white lobia also contain necessary nutrients such as minerals and vitamins.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Lobia - White, 500 g Pouch",DALS & PULSES
"bb Royal Channa Dal, 500 g Pouch","bb Royal Channa Dal, 500 g Pouch",61,https://www.bigbasket.com/media/uploads/p/s/10000471-6_5-bb-royal-channa-dal.jpg,"
            Channa Dal is sugary and nutty taste, this dal is amongst the most well-liked dal in India. It is a ready basis of proteins for a balanced diet including little or no meat. It includes a mild sweet flavor when cooked and is extremely nutritious. It is a good source of dietary fibre and includes an insignificant amount of polyunsaturated fat.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Channa Dal, 500 g Pouch",DALS & PULSES
"bb Royal Urad - Whole/Gota, 1 kg Pouch","bb Royal Urad - Whole/Gota, 1 kg Pouch",157,https://www.bigbasket.com/media/uploads/p/s/10000472-5_1-bb-royal-urad-wholegota.jpg,"
            Urad wash gota is a skinned, off-white colored lentil with a strong taste and is native to India. It is a superb supply of protein and dietary fibre. It is one of the finest plant supplies of protein. Minerals such as iron, folic acid, magnesium and potassium, and vitamin B are also there.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Urad - Whole/Gota, 1 kg Pouch",DALS & PULSES
"bb Royal Ragi Flour/Nachni Atta, 500 g Pouch","bb Royal Ragi Flour/Nachni Atta, 500 g Pouch",54,https://www.bigbasket.com/media/uploads/p/s/10000473-6_6-bb-royal-ragi-flournachni-atta.jpg,"
            Ragi Flour is loaded with normal fibers and nutrients that are necessary for your body growth.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Ragi Flour/Nachni Atta, 500 g Pouch","ATTA, FLOURS & SOOJI"
"bb Royal Urad - Black, Split/Chilka, 500 g Pouch","bb Royal Urad - Black, Split/Chilka, 500 g Pouch",74,https://www.bigbasket.com/media/uploads/p/s/10000474-5_1-bb-royal-urad-black-splitchilka.jpg,"
            Urad dal is the most valued pulse in India because of it rich dietary value. Urad dal is trendy amongst vegetarians as it acts like a rich protein source. It is widely utilized in different cooking preparations such as papad, dosa and vada.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Urad - Black, Split/Chilka, 500 g Pouch",DALS & PULSES
"bb Royal Besan - Flour, 500 g","bb Royal Besan - Flour, 500 g",51,https://www.bigbasket.com/media/uploads/p/s/10000475-4_1-bb-royal-besan-flour.jpg,"
            Gram flour or besan, is a light yellow color pulses flour made by grinding chickpea (Bengal gram). It is rich in fiber and nutrients, that can improve heart health, stabilize blood sugar and prevent diabetes. Besan is used to make batter for fries like bhajjis, pakodas and vadas. It is also used to make desserts and various kinds of sweet dishes. It can be used as a natural scrub for the skin and is believed to enhance complexion.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
        ","bb Royal Besan - Flour, 500 g","ATTA, FLOURS & SOOJI"
"bb Royal Rajma - Kashmiri, 500 g Pouch","bb Royal Rajma - Kashmiri, 500 g Pouch",61,https://www.bigbasket.com/media/uploads/p/s/10000476-6_6-bb-royal-rajma-kashmiri.jpg,"
            Kashmiri rajma are dark red kidney beans which are known for their rich red color even after being cooked. These are an outstanding supply of folate, manganese and dietary fiber. It is a fine supply of protein, phosphorus, copper, thiamine (vitamin B1), iron, potassium and magnesium. These are low in fat & loaded with nutrients.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Rajma - Kashmiri, 500 g Pouch",DALS & PULSES
"bb Royal Urad - Black, Whole/Sabut, 500 g Pouch","bb Royal Urad - Black, Whole/Sabut, 500 g Pouch",79,https://www.bigbasket.com/media/uploads/p/s/10000477-5_1-bb-royal-urad-black-wholesabut.jpg,"
            Urad dal is used as a key ingredient in Indian cuisine for preparing a strong diet. It is a black-skinned, off-white colored lentil with a sturdy flavor that has been split in half. It is a brilliant supply of protein and dietary fibre. It is one of the finest plant sources of protein minerals such as iron, folic acid, magnesium and potassium, and vitamin B are also there.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Royal Urad - Black, Whole/Sabut, 500 g Pouch",DALS & PULSES
